configuration,claim_id,claim,label,max_entailment,max_contradiction,revised_label,support_label
Fixed + Gemini,C10,Initial heart rate was 112 beats per minute.,CONTRADICTED,0.003273952519521117,0.9996122717857361,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C11,Initial respiratory rate was 28 breaths per minute.,CONTRADICTED,0.04308999329805374,0.9993686079978943,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C12,Initial temperature was 36.8°C.,CONTRADICTED,0.02202252857387066,0.9993993043899536,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C13,Physical examination showed mild distress.,SUPPORTED,0.9997605681419373,0.9992115497589111,SUPPORTED,SUPPORTED
Fixed + Gemini,C14,Physical examination showed laboured breathing.,SUPPORTED,0.9994351267814636,0.999394416809082,SUPPORTED,SUPPORTED
Fixed + Gemini,C15,Physical examination showed elevated jugular venous pressure.,SUPPORTED,0.9992837309837341,0.998457670211792,SUPPORTED,SUPPORTED
Fixed + Gemini,C16,Physical examination showed a loud second heart sound (P2).,SUPPORTED,0.9997904896736145,0.9990854263305664,SUPPORTED,SUPPORTED
Fixed + Gemini,C17,Physical examination showed bilateral basal crepitations.,CONTRADICTED,0.9985792636871338,0.9997215867042542,SUPPORTED,SUPPORTED
Fixed + Gemini,C18,Physical examination showed mild tender hepatomegaly.,CONTRADICTED,0.22911207377910614,0.9997105002403259,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C19,Physical examination showed no peripheral oedema.,CONTRADICTED,0.9988455772399902,0.999738872051239,SUPPORTED,SUPPORTED
Fixed + Gemini,C20,Physical examination showed no signs of deep vein thrombosis.,CONTRADICTED,0.007276399061083794,0.9997401833534241,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C21,Low‑flow oxygen via nasal cannula at 2 L increased SpO2 to 92%.,SUPPORTED,0.9996956586837769,0.9557324647903442,SUPPORTED,SUPPORTED
Fixed + Gemini,C22,Oxygen therapy was continued throughout admission.,CONTRADICTED,0.2420848160982132,0.9976916313171387,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C23,Chest X‑ray demonstrated bilateral pulmonary congestion and cardiomegaly without consolidation.,CONTRADICTED,0.9992944002151489,0.9996274709701538,SUPPORTED,SUPPORTED
Fixed + Gemini,C24,"Arterial blood gas showed PaO2 8.5 kPa, PaCO2 3.8 kPa, pH 7.46, indicating mild hypoxia with compensated respiratory alkalosis.",SUPPORTED,0.9997456669807434,0.9958479404449463,SUPPORTED,SUPPORTED
Fixed + Gemini,C25,NT‑proBNP was elevated at 3 200 pg/mL.,SUPPORTED,0.9997977614402771,0.9884446859359741,SUPPORTED,SUPPORTED
Fixed + Gemini,C26,"Enoxaparin 1.5 mg/kg daily was administered, with the first dose given in the emergency department.",CONTRADICTED,0.2220274657011032,0.9555260539054871,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C27,Anticoagulation was changed to apixaban 10 mg twice daily for seven days followed by 5 mg twice daily.,CONTRADICTED,0.9956278800964355,0.999372661113739,SUPPORTED,SUPPORTED
Fixed + Gemini,C28,Furosemide 40 mg once daily was started for mild fluid retention.,SUPPORTED,0.9997792840003967,0.9966089725494385,SUPPORTED,SUPPORTED
Fixed + Gemini,C29,Diaphragmatic breathing exercises were introduced three times daily.,SUPPORTED,0.9998255372047424,0.00433926610276103,SUPPORTED,SUPPORTED
Fixed + Gemini,C30,"Light mobilisation, energy‑conservation education, and rollator training were provided.",SUPPORTED,0.9998277425765991,0.5070927143096924,SUPPORTED,SUPPORTED
Fixed + Gemini,C31,CT pulmonary angiogram confirmed chronic thromboembolic disease.,SUPPORTED,0.9994612336158752,0.5057284832000732,SUPPORTED,SUPPORTED
Fixed + Gemini,C32,Transthoracic echocardiogram showed severe pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.9997299313545227,0.8050469160079956,SUPPORTED,SUPPORTED
Fixed + Gemini,C33,Cardiology referral was made and pulmonary endarterectomy was discussed.,SUPPORTED,0.9997645020484924,0.2056242972612381,SUPPORTED,SUPPORTED
Fixed + Gemini,C34,Sildenafil 20 mg three times daily was initiated for pulmonary hypertension.,SUPPORTED,0.9996901750564575,0.9993570446968079,SUPPORTED,SUPPORTED
Fixed + Gemini,C35,Rivaroxaban was started at 15 mg twice daily for 21 days then increased to 20 mg once daily for long‑term anticoagulation.,SUPPORTED,0.9989768266677856,0.9976775050163269,SUPPORTED,SUPPORTED
Fixed + Gemini,C36,Furosemide 40 mg daily was continued.,CONTRADICTED,0.9992314577102661,0.9993544220924377,SUPPORTED,SUPPORTED
Fixed + Gemini,C37,"The patient became oxygen independent, maintaining SpO2 94‑95% on room air.",CONTRADICTED,0.9976910352706909,0.9997084736824036,SUPPORTED,SUPPORTED
Fixed + Gemini,C38,Heart rate stabilized to 82‑88 bpm.,CONTRADICTED,0.008167636580765247,0.9996044039726257,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C39,Blood pressure stabilized to 110‑118/72 mmHg.,CONTRADICTED,0.07887516915798187,0.9996517896652222,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C40,Jugular venous pressure was no longer elevated.,SUPPORTED,0.979806661605835,0.9496124982833862,SUPPORTED,SUPPORTED
Fixed + Gemini,C41,Peripheral oedema resolved.,CONTRADICTED,0.002599055180326104,0.9996829032897949,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C42,Hepatomegaly was absent.,CONTRADICTED,0.0012588563840836287,0.9997069239616394,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C43,Mild anemia was identified with hemoglobin 110 g/L.,SUPPORTED,0.9998142123222351,0.975077211856842,SUPPORTED,SUPPORTED
Fixed + Gemini,C44,Ferrous sulfate 200 mg twice daily was started.,SUPPORTED,0.9997572302818298,0.9556849598884583,SUPPORTED,SUPPORTED
Fixed + Gemini,C45,NT‑proBNP remained mildly elevated at approximately 3 200 pg/mL.,SUPPORTED,0.999584972858429,0.9995797276496887,SUPPORTED,SUPPORTED
Fixed + Gemini,C46,Ventilation‑perfusion scan confirmed mismatched perfusion defects consistent with CTEPH.,SUPPORTED,0.9997474551200867,0.5147949457168579,SUPPORTED,SUPPORTED
Fixed + Gemini,C47,The patient reported continued improvement in breathlessness.,CONTRADICTED,0.9994547963142395,0.9996699094772339,SUPPORTED,SUPPORTED
Fixed + Gemini,C48,The patient tolerated walking 10 m with a walking frame without desaturation.,CONTRADICTED,0.6799690127372742,0.999480664730072,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C49,"Discharge medications included sildenafil 20 mg three times daily, rivaroxaban 20 mg once daily, furosemide 40 mg once daily, and ferrous sulfate 200 mg twice daily.",CONTRADICTED,0.9971520900726318,0.9997010231018066,SUPPORTED,SUPPORTED
Fixed + Gemini,C50,No supplemental oxygen was required at discharge.,CONTRADICTED,0.6361896395683289,0.999674916267395,CONTRADICTED,UNSUPPORTED
Fixed + Gemini,C51,Outpatient follow‑up was arranged at a tertiary pulmonary hypertension centre in four weeks.,SUPPORTED,0.999687671661377,0.33231034874916077,SUPPORTED,SUPPORTED
Fixed + Gemini,C52,The patient was discharged in stable condition.,CONTRADICTED,0.06513570249080658,0.9997087121009827,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C01,Past medical history includes hypertension.,SUPPORTED,0.9997853636741638,0.06939546018838882,SUPPORTED,SUPPORTED
Fixed + BGE,C02,Past medical history includes asthma.,SUPPORTED,0.9997832179069519,0.002429270651191473,SUPPORTED,SUPPORTED
Fixed + BGE,C03,Presented with progressive breathlessness.,SUPPORTED,0.9998261332511902,0.9620540142059326,SUPPORTED,SUPPORTED
Fixed + BGE,C04,Arterial blood gas showed mild hypoxia with PaO₂ of 8.5 kPa.,SUPPORTED,0.999743640422821,0.9987092018127441,SUPPORTED,SUPPORTED
Fixed + BGE,C05,Arterial blood gas showed compensated respiratory alkalosis.,CONTRADICTED,0.9986661672592163,0.9995243549346924,SUPPORTED,SUPPORTED
Fixed + BGE,C06,NT‑proBNP level was approximately 3 200 pg/mL.,SUPPORTED,0.9998070597648621,0.9816526770591736,SUPPORTED,SUPPORTED
Fixed + BGE,C07,Low‑flow oxygen therapy was started at 2 L nasal cannula.,SUPPORTED,0.9883564114570618,0.4096197783946991,SUPPORTED,SUPPORTED
Fixed + BGE,C08,SpO₂ increased from 89 % to 92 % after oxygen initiation.,SUPPORTED,0.9997398257255554,0.9984927177429199,SUPPORTED,SUPPORTED
Fixed + BGE,C09,CTPA confirmed chronic thromboembolic disease.,SUPPORTED,0.9997259974479675,0.9969496130943298,SUPPORTED,SUPPORTED
Fixed + BGE,C10,Diagnosed with chronic thromboembolic pulmonary hypertension.,SUPPORTED,0.9997839331626892,0.8865310549736023,SUPPORTED,SUPPORTED
Fixed + BGE,C11,Anticoagulation was initiated with apixaban 10 mg twice daily.,CONTRADICTED,0.8158503770828247,0.9983505010604858,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C12,Diaphragmatic breathing exercises were introduced.,SUPPORTED,0.9997953772544861,0.6387179493904114,SUPPORTED,SUPPORTED
Fixed + BGE,C13,Echocardiogram demonstrated severe pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.999754011631012,0.866134762763977,SUPPORTED,SUPPORTED
Fixed + BGE,C14,Furosemide 40 mg once daily was started for fluid retention.,SUPPORTED,0.9997420907020569,0.9963952898979187,SUPPORTED,SUPPORTED
Fixed + BGE,C15,Anticoagulation was switched to rivaroxaban 15 mg twice daily.,CONTRADICTED,0.9811707735061646,0.9996458292007446,SUPPORTED,SUPPORTED
Fixed + BGE,C16,Sildenafil 20 mg three times daily was commenced for pulmonary hypertension.,SUPPORTED,0.9996800422668457,0.9989172220230103,SUPPORTED,SUPPORTED
Fixed + BGE,C17,Energy‑conservation education was provided.,SUPPORTED,0.9998173117637634,0.976061224937439,SUPPORTED,SUPPORTED
Fixed + BGE,C18,A rollator was fitted.,SUPPORTED,0.9997767806053162,0.11347714066505432,SUPPORTED,SUPPORTED
Fixed + BGE,C19,Pacing strategies were taught.,SUPPORTED,0.9997653365135193,0.93980473279953,SUPPORTED,SUPPORTED
Fixed + BGE,C20,A ventilation‑perfusion scan was scheduled.,SUPPORTED,0.9997132420539856,0.3530998229980469,SUPPORTED,SUPPORTED
Fixed + BGE,C21,Referred to cardiology for definitive pulmonary hypertension management.,SUPPORTED,0.9996496438980103,0.9973434805870056,SUPPORTED,SUPPORTED
Fixed + BGE,C22,V/Q scan showed mismatched perfusion defects confirming the extent of CTEPH.,SUPPORTED,0.9998044371604919,0.6828299760818481,SUPPORTED,SUPPORTED
Fixed + BGE,C23,Referred to a tertiary pulmonary hypertension centre for pulmonary endarterectomy assessment.,SUPPORTED,0.9997343420982361,0.778553307056427,SUPPORTED,SUPPORTED
Fixed + BGE,C24,Received oxygen at 1 L nasal cannula.,SUPPORTED,0.9996836185455322,0.3609682321548462,SUPPORTED,SUPPORTED
Fixed + BGE,C25,SpO₂ was 94‑95 % while on oxygen.,CONTRADICTED,0.9880961179733276,0.9994770884513855,SUPPORTED,SUPPORTED
Fixed + BGE,C26,Jugular venous pressure was not raised.,CONTRADICTED,0.005175834055989981,0.9996455907821655,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C27,No peripheral oedema was present.,CONTRADICTED,0.5882789492607117,0.9996994733810425,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C28,Sildenafil 20 mg three times daily was continued.,CONTRADICTED,0.9974589943885803,0.9995918869972229,SUPPORTED,SUPPORTED
Fixed + BGE,C29,Furosemide was continued.,CONTRADICTED,0.9399706125259399,0.9995866417884827,SUPPORTED,SUPPORTED
Fixed + BGE,C30,Structured breathing exercises and light stretching were performed.,SUPPORTED,0.9998257756233215,0.22358763217926025,SUPPORTED,SUPPORTED
Fixed + BGE,C31,Improved endurance was noted.,SUPPORTED,0.9998372793197632,0.4390125870704651,SUPPORTED,SUPPORTED
Fixed + BGE,C32,Oxygen therapy was weaned to room air.,UNSUPPORTED,0.5865989327430725,0.4438684284687042,UNSUPPORTED,UNSUPPORTED
Fixed + BGE,C33,SpO₂ was 94‑95 % on room air.,CONTRADICTED,0.38687676191329956,0.9996005892753601,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C34,Rivaroxaban dose was increased to 20 mg once daily for long‑term anticoagulation.,SUPPORTED,0.9994090795516968,0.9968794584274292,SUPPORTED,SUPPORTED
Fixed + BGE,C35,"Hemoglobin was approximately 110 g/L, indicating mild anaemia.",SUPPORTED,0.9998142123222351,0.03593149781227112,SUPPORTED,SUPPORTED
Fixed + BGE,C36,Ferrous sulfate 200 mg twice daily was started.,SUPPORTED,0.9997572302818298,0.9556849598884583,SUPPORTED,SUPPORTED
Fixed + BGE,C37,At discharge the patient was comfortable at rest.,CONTRADICTED,0.5768951177597046,0.9996999502182007,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C38,At discharge the patient was mobilising independently.,CONTRADICTED,0.9996603727340698,0.9997153878211975,SUPPORTED,SUPPORTED
Fixed + BGE,C39,No new symptoms were reported at discharge.,CONTRADICTED,0.9428058862686157,0.9996789693832397,SUPPORTED,SUPPORTED
Fixed + BGE,C40,NT‑proBNP remained persistently elevated but stable.,SUPPORTED,0.9989596605300903,0.7173832654953003,SUPPORTED,SUPPORTED
Fixed + BGE,C41,"Discharge plan: rivaroxaban 15 mg twice daily for 21 days, then 20 mg once daily.",CONTRADICTED,0.9595906138420105,0.999097466468811,SUPPORTED,SUPPORTED
Fixed + BGE,C42,Discharge plan: sildenafil 20 mg three times daily.,SUPPORTED,0.9989480376243591,0.9963493347167969,SUPPORTED,SUPPORTED
Fixed + BGE,C43,Discharge plan: furosemide 20 mg once daily for mild peripheral oedema.,CONTRADICTED,0.9810106158256531,0.9995786547660828,SUPPORTED,SUPPORTED
Fixed + BGE,C44,Discharge plan: ferrous sulfate 200 mg twice daily.,SUPPORTED,0.9995285272598267,0.9921187162399292,SUPPORTED,SUPPORTED
Fixed + BGE,C45,Home‑exercise programme consisting of breathing and light aerobic activity was prescribed.,SUPPORTED,0.9997995495796204,0.6615245342254639,SUPPORTED,SUPPORTED
Fixed + BGE,C46,No home oxygen was required at discharge.,CONTRADICTED,0.8875170350074768,0.999688982963562,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C47,Follow‑up appointment at the tertiary pulmonary hypertension centre was scheduled in four weeks.,SUPPORTED,0.9998156428337097,0.29113760590553284,SUPPORTED,SUPPORTED
Fixed + BGE,C48,Repeat hemoglobin was to be measured in the outpatient clinic.,CONTRADICTED,0.21956491470336914,0.9988411068916321,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C49,Repeat NT‑proBNP was to be measured in the outpatient clinic.,CONTRADICTED,0.11102545261383057,0.9996094107627869,CONTRADICTED,UNSUPPORTED
Fixed + BGE,C50,Patient was advised to seek urgent review for worsening breathlessness or chest pain.,SUPPORTED,0.9997921586036682,0.9986590147018433,SUPPORTED,SUPPORTED
Section + Gemini,C01,The patient is a 43‑year‑old female named Abena Bonsu.,SUPPORTED,0.999521017074585,0.9479053616523743,SUPPORTED,SUPPORTED
Section + Gemini,C02,The patient has a past medical history of hypertension.,SUPPORTED,0.9997966885566711,0.022341551259160042,SUPPORTED,SUPPORTED
Section + Gemini,C03,The patient has a past medical history of asthma.,SUPPORTED,0.9997891783714294,0.009347466751933098,SUPPORTED,SUPPORTED
Section + Gemini,C04,The patient’s father has hypertension.,CONTRADICTED,0.2645951807498932,0.9927531480789185,CONTRADICTED,UNSUPPORTED
Section + Gemini,C05,The patient’s mother has asthma.,UNSUPPORTED,0.01895313523709774,0.24280515313148499,UNSUPPORTED,UNSUPPORTED
Section + Gemini,C06,The patient lives alone.,CONTRADICTED,0.10985276103019714,0.9995881915092468,CONTRADICTED,UNSUPPORTED
Section + Gemini,C07,The patient works as a school teacher.,SUPPORTED,0.9924545288085938,0.8208343982696533,SUPPORTED,SUPPORTED
Section + Gemini,C08,The patient is a non‑smoker.,CONTRADICTED,0.11144906282424927,0.996013879776001,CONTRADICTED,UNSUPPORTED
Section + Gemini,C09,The patient uses alcohol rarely.,CONTRADICTED,0.08286608755588531,0.9994503855705261,CONTRADICTED,UNSUPPORTED
Section + Gemini,C10,The patient does not use recreational drugs.,CONTRADICTED,0.008912215009331703,0.9996956586837769,CONTRADICTED,UNSUPPORTED
Section + Gemini,C11,The patient has not had recent travel.,CONTRADICTED,0.012178928591310978,0.9996718168258667,CONTRADICTED,UNSUPPORTED
Section + Gemini,C12,The chief complaint on admission was progressive exertional breathlessness.,SUPPORTED,0.9998190999031067,0.9980756044387817,SUPPORTED,SUPPORTED
Section + Gemini,C13,The initial assessment suspected chronic thromboembolic pulmonary hypertension causing cardiac strain.,SUPPORTED,0.9997654557228088,0.988186240196228,SUPPORTED,SUPPORTED
Section + Gemini,C14,Transthoracic echocardiography showed severe pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.9997113347053528,0.8889500498771667,SUPPORTED,SUPPORTED
Section + Gemini,C15,Initial NT‑proBNP level was 3200 pg/mL.,SUPPORTED,0.9995884299278259,0.998650848865509,SUPPORTED,SUPPORTED
Section + Gemini,C16,The patient was started on nasal cannula oxygen at 2 L/min.,SUPPORTED,0.9997228980064392,0.06785457581281662,SUPPORTED,SUPPORTED
Section + Gemini,C17,Rivaroxaban was noted as effective and well‑tolerated.,SUPPORTED,0.9997233748435974,0.5258402824401855,SUPPORTED,SUPPORTED
Section + Gemini,C18,"Initial vital signs were HR 88 bpm, BP 110/70 mmHg, RR 20 /min, SpO₂ 94 % on 2 L oxygen, temperature 36.8 °C.",CONTRADICTED,0.9945982694625854,0.9987215399742126,SUPPORTED,SUPPORTED
Section + Gemini,C19,The patient was admitted to the Respiratory HDU under Dr Elizabeth Kathryn Singh.,SUPPORTED,0.9996472597122192,0.9942094087600708,SUPPORTED,SUPPORTED
Section + Gemini,C20,During early inpatient review the patient remained clinically stable.,CONTRADICTED,0.8354955315589905,0.9996342658996582,CONTRADICTED,UNSUPPORTED
Section + Gemini,C21,The patient continued to have exertional dyspnoea.,SUPPORTED,0.9996335506439209,0.9950662851333618,SUPPORTED,SUPPORTED
Section + Gemini,C22,NT‑proBNP remained unchanged at 3200 pg/mL during early review.,CONTRADICTED,0.35625556111335754,0.9995514750480652,CONTRADICTED,UNSUPPORTED
Section + Gemini,C23,The patient continued to require 2 L/min supplemental oxygen during early review.,CONTRADICTED,0.9979071617126465,0.9994742274284363,SUPPORTED,SUPPORTED
Section + Gemini,C24,On a subsequent review the patient reported feeling less breathless.,SUPPORTED,0.9997807145118713,0.9964221715927124,SUPPORTED,SUPPORTED
Section + Gemini,C25,The patient required less supplemental oxygen on the subsequent review.,SUPPORTED,0.9994562268257141,0.9663896560668945,SUPPORTED,SUPPORTED
Section + Gemini,C26,CT pulmonary angiography confirmed chronic thromboembolic disease.,SUPPORTED,0.9995668530464172,0.5949668884277344,SUPPORTED,SUPPORTED
Section + Gemini,C27,Repeat echocardiography confirmed severe pulmonary hypertension and right‑ventricular strain.,SUPPORTED,0.9995705485343933,0.9946046471595764,SUPPORTED,SUPPORTED
Section + Gemini,C28,Arterial blood gas showed PaO₂ 8.5 kPa and PaCO₂ 4.2 kPa.,CONTRADICTED,0.9910881519317627,0.9983928799629211,SUPPORTED,SUPPORTED
Section + Gemini,C29,NT‑proBNP increased to 4500 pg/mL on the subsequent review.,SUPPORTED,0.9995079040527344,0.9574143290519714,SUPPORTED,SUPPORTED
Section + Gemini,C30,Sildenafil was initiated to manage pulmonary hypertension.,CONTRADICTED,0.9996191263198853,0.9996929168701172,SUPPORTED,SUPPORTED
Section + Gemini,C31,A referral was made to a tertiary pulmonary hypertension centre for consideration of pulmonary endarterectomy.,SUPPORTED,0.9998047947883606,0.8955148458480835,SUPPORTED,SUPPORTED
Section + Gemini,C32,"Physiotherapy included diaphragmatic breathing, light mobility, and two short corridor walks with rest breaks.",SUPPORTED,0.9998010993003845,0.07317861914634705,SUPPORTED,SUPPORTED
Section + Gemini,C33,The patient tolerated physiotherapy with oxygen saturations >92 % on 2 L and no significant dyspnoea.,SUPPORTED,0.9997606873512268,0.9995635151863098,SUPPORTED,SUPPORTED
Section + Gemini,C34,"Physiotherapy also included light mobilisation, diaphragmatic breathing, and ambulation of 10 m using a walking frame with minimal assistance.",SUPPORTED,0.9997963309288025,0.0075982119888067245,SUPPORTED,SUPPORTED
Section + Gemini,C35,The patient tolerated this physiotherapy with oxygen saturations >92 % on low‑flow oxygen and no medication changes.,SUPPORTED,0.9994580149650574,0.9988114833831787,SUPPORTED,SUPPORTED
Section + Gemini,C36,"General examination showed the patient alert, without distress, no peripheral oedema, non‑raised JVP, clear chest, soft abdomen, and no hepatomegaly.",CONTRADICTED,0.9920525550842285,0.9996789693832397,SUPPORTED,SUPPORTED
Section + Gemini,C37,"Recorded vital signs ranged HR 84‑88 bpm, BP 112‑118/70‑72 mmHg, RR 16‑18 /min, temperature 36.8 °C, SpO₂ 94‑95 % on room air.",CONTRADICTED,0.9943118095397949,0.9983208775520325,SUPPORTED,SUPPORTED
Section + Gemini,C38,Hemoglobin was 110 g/L.,CONTRADICTED,0.9994964599609375,0.999648928642273,SUPPORTED,SUPPORTED
Section + Gemini,C39,NT‑proBNP was described as mildly elevated consistent with chronic thromboembolic pulmonary hypertension.,SUPPORTED,0.9997947812080383,0.9851341247558594,SUPPORTED,SUPPORTED
Section + Gemini,C40,No new imaging abnormalities were identified.,CONTRADICTED,0.9935100674629211,0.9996588230133057,SUPPORTED,SUPPORTED
Section + Gemini,C41,No infections were identified.,CONTRADICTED,0.3698935806751251,0.9995693564414978,CONTRADICTED,UNSUPPORTED
Section + Gemini,C42,A detailed discharge summary and outpatient follow‑up plan were provided.,SUPPORTED,0.9997395873069763,0.6893466114997864,SUPPORTED,SUPPORTED
Section + Gemini,C43,Contact details for local pulmonary hypertension support services were supplied.,SUPPORTED,0.9997884631156921,0.208732008934021,SUPPORTED,SUPPORTED
Section + Gemini,C44,No new medications or treatment changes were prescribed at discharge.,CONTRADICTED,0.9984133243560791,0.9996529817581177,SUPPORTED,SUPPORTED
Section + Gemini,C45,The patient was instructed to contact support services if concerns arise.,SUPPORTED,0.9998019337654114,0.9974260926246643,SUPPORTED,SUPPORTED
Section + Gemini,C46,Clinical status remained stable with mild improvement in symptoms and oxygen requirements.,CONTRADICTED,0.9994432330131531,0.9995964169502258,SUPPORTED,SUPPORTED
Section + BGE,C01,Patient presented with progressive breathlessness.,SUPPORTED,0.9998325109481812,0.9105619192123413,SUPPORTED,SUPPORTED
Section + BGE,C02,Patient has a past medical history of hypertension.,SUPPORTED,0.9998038411140442,0.0074601685628294945,SUPPORTED,SUPPORTED
Section + BGE,C03,Patient has a past medical history of asthma.,SUPPORTED,0.9997846484184265,0.0074077630415558815,SUPPORTED,SUPPORTED
Section + BGE,C04,Patient was placed on low-flow oxygen.,SUPPORTED,0.9997733235359192,0.26047226786613464,SUPPORTED,SUPPORTED
Section + BGE,C05,Patient’s SpO₂ increased from 89% to 92% on low-flow oxygen.,SUPPORTED,0.9997435212135315,0.9968860745429993,SUPPORTED,SUPPORTED
Section + BGE,C06,Patient’s arterial blood gas showed a PaO₂ of 8.5 kPa indicating mild hypoxia.,SUPPORTED,0.9996650218963623,0.9984408020973206,SUPPORTED,SUPPORTED
Section + BGE,C07,Patient’s arterial blood gas demonstrated compensated respiratory alkalosis.,CONTRADICTED,0.9984090924263,0.9995505213737488,SUPPORTED,SUPPORTED
Section + BGE,C08,"NT-proBNP was measured at 3,200 pg/mL.",SUPPORTED,0.999803364276886,0.9935492873191833,SUPPORTED,SUPPORTED
Section + BGE,C09,Patient was started on apixaban 10 mg twice daily.,CONTRADICTED,0.854065477848053,0.9948829412460327,CONTRADICTED,UNSUPPORTED
Section + BGE,C10,"After 7 days, apixaban dose was reduced to 5 mg twice daily.",CONTRADICTED,0.3644803762435913,0.9004952907562256,CONTRADICTED,UNSUPPORTED
Section + BGE,C11,Patient received low-molecular-weight heparin until apixaban was therapeutic.,SUPPORTED,0.9993895292282104,0.49397942423820496,SUPPORTED,SUPPORTED
Section + BGE,C12,CTPA confirmed chronic thromboembolic disease.,SUPPORTED,0.9997259974479675,0.9969496130943298,SUPPORTED,SUPPORTED
Section + BGE,C13,Transthoracic echocardiogram demonstrated severe pulmonary hypertension with right-ventricular strain.,SUPPORTED,0.9996521472930908,0.978991687297821,SUPPORTED,SUPPORTED
Section + BGE,C14,"NT-proBNP later measured at 4,500 pg/mL.",SUPPORTED,0.9995429515838623,0.9470705986022949,SUPPORTED,SUPPORTED
Section + BGE,C15,No infection was identified.,CONTRADICTED,0.25970351696014404,0.9996472597122192,CONTRADICTED,UNSUPPORTED
Section + BGE,C16,Patient was diagnosed with chronic thromboembolic pulmonary hypertension.,SUPPORTED,0.9997981190681458,0.8798529505729675,SUPPORTED,SUPPORTED
Section + BGE,C17,Anticoagulation was switched to rivaroxaban 15 mg twice daily.,CONTRADICTED,0.9811707735061646,0.9996458292007446,SUPPORTED,SUPPORTED
Section + BGE,C18,Plan to increase rivaroxaban to 20 mg once daily long-term.,SUPPORTED,0.9991483688354492,0.8591155409812927,SUPPORTED,SUPPORTED
Section + BGE,C19,Patient was prescribed furosemide 40 mg once daily for fluid management and right-ventricular load reduction.,SUPPORTED,0.9997144341468811,0.8281539082527161,SUPPORTED,SUPPORTED
Section + BGE,C20,Patient was started on sildenafil 20 mg three times daily.,SUPPORTED,0.9995306730270386,0.9990552067756653,SUPPORTED,SUPPORTED
Section + BGE,C21,Patient was referred to a tertiary pulmonary hypertension centre for assessment of pulmonary endarterectomy.,SUPPORTED,0.9997976422309875,0.9650247693061829,SUPPORTED,SUPPORTED
Section + BGE,C22,Diaphragmatic breathing exercises were introduced.,SUPPORTED,0.9997953772544861,0.6387179493904114,SUPPORTED,SUPPORTED
Section + BGE,C23,"Patient received energy-conservation education, pacing strategies, and a rollator for ambulation.",SUPPORTED,0.9998326301574707,0.3616475462913513,SUPPORTED,SUPPORTED
Section + BGE,C24,"Structured breathing, light stretching, and low-intensity walking sessions resulted in progressive improvement in endurance and SpO₂.",SUPPORTED,0.9998249411582947,0.01665312983095646,SUPPORTED,SUPPORTED
Section + BGE,C25,"A home-exercise programme was finalized focusing on gradual aerobic activity, breathing techniques, and warning-sign education.",SUPPORTED,0.9996345043182373,0.9969075322151184,SUPPORTED,SUPPORTED
Section + BGE,C26,V/Q scan showed mismatched perfusion defects confirming chronic thromboembolic pulmonary hypertension.,SUPPORTED,0.9998148083686829,0.043179530650377274,SUPPORTED,SUPPORTED
Section + BGE,C27,Discharge plan includes rivaroxaban 15 mg twice daily for 21 days then 20 mg once daily long-term.,CONTRADICTED,0.9991438388824463,0.9996336698532104,SUPPORTED,SUPPORTED
Section + BGE,C28,Discharge plan includes sildenafil 20 mg three times daily.,SUPPORTED,0.9996016621589661,0.9995402097702026,SUPPORTED,SUPPORTED
Section + BGE,C29,Discharge plan includes furosemide 40 mg once daily.,CONTRADICTED,0.9995618462562561,0.9996815919876099,SUPPORTED,SUPPORTED
Section + BGE,C30,Follow-up appointment at the tertiary pulmonary hypertension centre is scheduled in 4 weeks.,SUPPORTED,0.9997939467430115,0.31215527653694153,SUPPORTED,SUPPORTED
Section + BGE,C31,Outpatient review of haemoglobin is planned.,SUPPORTED,0.9996397495269775,0.9930922985076904,SUPPORTED,SUPPORTED
Section + BGE,C32,Outpatient review of NT-proBNP is planned.,SUPPORTED,0.9995487332344055,0.8873212337493896,SUPPORTED,SUPPORTED
Section + BGE,C33,Home oxygen assessment was arranged.,SUPPORTED,0.9998217225074768,0.8690032958984375,SUPPORTED,SUPPORTED
Section + BGE,C34,Patient remained clinically stable at discharge.,CONTRADICTED,0.11388087272644043,0.999687910079956,CONTRADICTED,UNSUPPORTED
